2025-08-05 16:48:11 startup archives install
2025-08-05 16:50:31 status half-installed libpython3.12t64:amd64 3.12.3-1ubuntu0.7
2025-08-05 16:50:31 status unpacked libpython3.12t64:amd64 3.12.3-1ubuntu0.7
2025-08-05 16:50:31 install libpeas-1.0-0:amd64 <none> 1.36.0-3build4
2025-08-05 16:50:31 status half-installed libpeas-1.0-0:amd64 1.36.0-3build4
2025-08-05 16:50:31 status unpacked libpeas-1.0-0:amd64 1.36.0-3build4
2025-08-05 16:50:31 install librsvg2-2:amd64 <none> 2.58.0+dfsg-1build1
2025-08-05 16:50:31 status half-installed librsvg2-2:amd64 2.58.0+dfsg-1build1
2025-08-05 16:50:31 status unpacked librsvg2-2:amd64 2.58.0+dfsg-1build1
2025-08-05 16:50:31 install gir1.2-peas-1.0:amd64 <none> 1.36.0-3build4
2025-08-05 16:50:31 status half-installed gir1.2-peas-1.0:amd64 1.36.0-3build4
2025-08-05 16:50:31 status unpacked gir1.2-peas-1.0:amd64 1.36.0-3build4
2025-08-05 16:50:31 install librsvg2-common:amd64 <none> 2.58.0+dfsg-1build1
2025-08-05 16:50:31 status half-installed librsvg2-common:amd64 2.58.0+dfsg-1build1
2025-08-05 16:50:31 status unpacked librsvg2-common:amd64 2.58.0+dfsg-1build1
2025-08-05 16:50:31 install libwebpdemux2:amd64 <none> 1.3.2-0.4build3
2025-08-05 16:50:31 status half-installed libwebpdemux2:amd64 1.3.2-0.4build3
2025-08-05 16:50:31 status unpacked libwebpdemux2:amd64 1.3.2-0.4build3
2025-08-05 16:50:31 install libwebpmux3:amd64 <none> 1.3.2-0.4build3
2025-08-05 16:50:31 status half-installed libwebpmux3:amd64 1.3.2-0.4build3
2025-08-05 16:50:31 status unpacked libwebpmux3:amd64 1.3.2-0.4build3
2025-08-05 16:50:31 install webp-pixbuf-loader:amd64 <none> 0.2.4-2build2
2025-08-05 16:50:31 status half-installed webp-pixbuf-loader:amd64 0.2.4-2build2
2025-08-05 16:50:31 status unpacked webp-pixbuf-loader:amd64 0.2.4-2build2
2025-08-05 16:50:31 install eog:amd64 <none> 45.3-1ubuntu2
2025-08-05 16:50:31 status half-installed eog:amd64 45.3-1ubuntu2
2025-08-05 16:50:31 status unpacked eog:amd64 45.3-1ubuntu2
2025-08-05 16:50:31 install espeak-ng-data:amd64 <none> 1.51+dfsg-12build1
2025-08-05 16:50:31 status half-installed espeak-ng-data:amd64 1.51+dfsg-12build1
2025-08-05 16:50:31 status unpacked espeak-ng-data:amd64 1.51+dfsg-12build1
2025-08-05 16:50:31 install evince-common:all <none> 46.3.1-0ubuntu1
2025-08-05 16:50:31 status half-installed evince-common:all 46.3.1-0ubuntu1
2025-08-05 16:50:31 status unpacked evince-common:all 46.3.1-0ubuntu1
2025-08-05 16:50:32 install libarchive13t64:amd64 <none> 3.7.2-2ubuntu0.5
2025-08-05 16:50:32 status half-installed libarchive13t64:amd64 3.7.2-2ubuntu0.5
2025-08-05 16:50:32 status unpacked libarchive13t64:amd64 3.7.2-2ubuntu0.5
2025-08-05 16:50:32 install libdjvulibre-text:all <none> 3.5.28-2ubuntu0.24.04.1
2025-08-05 16:50:32 status half-installed libdjvulibre-text:all 3.5.28-2ubuntu0.24.04.1
2025-08-05 16:50:32 status unpacked libdjvulibre-text:all 3.5.28-2ubuntu0.24.04.1
2025-08-05 16:50:32 install libdjvulibre21:amd64 <none> 3.5.28-2ubuntu0.24.04.1
2025-08-05 16:50:32 status half-installed libdjvulibre21:amd64 3.5.28-2ubuntu0.24.04.1
2025-08-05 16:50:32 status unpacked libdjvulibre21:amd64 3.5.28-2ubuntu0.24.04.1
2025-08-05 16:50:32 install libgxps2t64:amd64 <none> 0.3.2-4build3
2025-08-05 16:50:32 status half-installed libgxps2t64:amd64 0.3.2-4build3
2025-08-05 16:50:32 status unpacked libgxps2t64:amd64 0.3.2-4build3
2025-08-05 16:50:32 install libkpathsea6:amd64 <none> 2023.20230311.66589-9build3
2025-08-05 16:50:32 status half-installed libkpathsea6:amd64 2023.20230311.66589-9build3
2025-08-05 16:50:32 status unpacked libkpathsea6:amd64 2023.20230311.66589-9build3
2025-08-05 16:50:32 install libspectre1:amd64 <none> 0.2.12-1build2
2025-08-05 16:50:32 status half-installed libspectre1:amd64 0.2.12-1build2
2025-08-05 16:50:32 status unpacked libspectre1:amd64 0.2.12-1build2
2025-08-05 16:50:32 install libsynctex2:amd64 <none> 2023.20230311.66589-9build3
2025-08-05 16:50:32 status half-installed libsynctex2:amd64 2023.20230311.66589-9build3
2025-08-05 16:50:32 status unpacked libsynctex2:amd64 2023.20230311.66589-9build3
2025-08-05 16:50:32 install libevdocument3-4t64:amd64 <none> 46.3.1-0ubuntu1
2025-08-05 16:50:32 status half-installed libevdocument3-4t64:amd64 46.3.1-0ubuntu1
2025-08-05 16:50:32 status unpacked libevdocument3-4t64:amd64 46.3.1-0ubuntu1
2025-08-05 16:50:32 install libcdparanoia0:amd64 <none> 3.10.2+debian-14build3
2025-08-05 16:50:32 status half-installed libcdparanoia0:amd64 3.10.2+debian-14build3
2025-08-05 16:50:32 status unpacked libcdparanoia0:amd64 3.10.2+debian-14build3
2025-08-05 16:50:32 install libgstreamer1.0-0:amd64 <none> 1.24.2-1ubuntu0.1
2025-08-05 16:50:32 status half-installed libgstreamer1.0-0:amd64 1.24.2-1ubuntu0.1
2025-08-05 16:50:32 status unpacked libgstreamer1.0-0:amd64 1.24.2-1ubuntu0.1
2025-08-05 16:50:32 install liborc-0.4-0t64:amd64 <none> 1:0.4.38-1ubuntu0.1
2025-08-05 16:50:32 status half-installed liborc-0.4-0t64:amd64 1:0.4.38-1ubuntu0.1
2025-08-05 16:50:32 status unpacked liborc-0.4-0t64:amd64 1:0.4.38-1ubuntu0.1
2025-08-05 16:50:32 install libgstreamer-plugins-base1.0-0:amd64 <none> 1.24.2-1ubuntu0.2
2025-08-05 16:50:32 status half-installed libgstreamer-plugins-base1.0-0:amd64 1.24.2-1ubuntu0.2
2025-08-05 16:50:32 status unpacked libgstreamer-plugins-base1.0-0:amd64 1.24.2-1ubuntu0.2
2025-08-05 16:50:32 install libogg0:amd64 <none> 1.3.5-3build1
2025-08-05 16:50:32 status half-installed libogg0:amd64 1.3.5-3build1
2025-08-05 16:50:32 status unpacked libogg0:amd64 1.3.5-3build1
2025-08-05 16:50:32 install libopus0:amd64 <none> 1.4-1build1
2025-08-05 16:50:32 status half-installed libopus0:amd64 1.4-1build1
2025-08-05 16:50:32 status unpacked libopus0:amd64 1.4-1build1
2025-08-05 16:50:32 install libtheora0:amd64 <none> 1.1.1+dfsg.1-16.1build3
2025-08-05 16:50:32 status half-installed libtheora0:amd64 1.1.1+dfsg.1-16.1build3
2025-08-05 16:50:32 status unpacked libtheora0:amd64 1.1.1+dfsg.1-16.1build3
2025-08-05 16:50:32 install libvisual-0.4-0:amd64 <none> 0.4.2-2build1
2025-08-05 16:50:32 status half-installed libvisual-0.4-0:amd64 0.4.2-2build1
2025-08-05 16:50:32 status unpacked libvisual-0.4-0:amd64 0.4.2-2build1
2025-08-05 16:50:32 install libvorbis0a:amd64 <none> 1.3.7-1build3
2025-08-05 16:50:32 status half-installed libvorbis0a:amd64 1.3.7-1build3
2025-08-05 16:50:32 status unpacked libvorbis0a:amd64 1.3.7-1build3
2025-08-05 16:50:32 install libvorbisenc2:amd64 <none> 1.3.7-1build3
2025-08-05 16:50:32 status half-installed libvorbisenc2:amd64 1.3.7-1build3
2025-08-05 16:50:32 status unpacked libvorbisenc2:amd64 1.3.7-1build3
2025-08-05 16:50:32 install gstreamer1.0-plugins-base:amd64 <none> 1.24.2-1ubuntu0.2
2025-08-05 16:50:32 status half-installed gstreamer1.0-plugins-base:amd64 1.24.2-1ubuntu0.2
2025-08-05 16:50:32 status unpacked gstreamer1.0-plugins-base:amd64 1.24.2-1ubuntu0.2
2025-08-05 16:50:32 install libgspell-1-common:all <none> 1.12.2-1build4
2025-08-05 16:50:32 status half-installed libgspell-1-common:all 1.12.2-1build4
2025-08-05 16:50:32 status unpacked libgspell-1-common:all 1.12.2-1build4
2025-08-05 16:50:32 install libgspell-1-2:amd64 <none> 1.12.2-1build4
2025-08-05 16:50:32 status half-installed libgspell-1-2:amd64 1.12.2-1build4
2025-08-05 16:50:32 status unpacked libgspell-1-2:amd64 1.12.2-1build4
2025-08-05 16:50:32 install libevview3-3t64:amd64 <none> 46.3.1-0ubuntu1
2025-08-05 16:50:32 status half-installed libevview3-3t64:amd64 46.3.1-0ubuntu1
2025-08-05 16:50:32 status unpacked libevview3-3t64:amd64 46.3.1-0ubuntu1
2025-08-05 16:50:32 install libsecret-common:all <none> 0.21.4-1build3
2025-08-05 16:50:32 status half-installed libsecret-common:all 0.21.4-1build3
2025-08-05 16:50:32 status unpacked libsecret-common:all 0.21.4-1build3
2025-08-05 16:50:32 install libsecret-1-0:amd64 <none> 0.21.4-1build3
2025-08-05 16:50:32 status half-installed libsecret-1-0:amd64 0.21.4-1build3
2025-08-05 16:50:32 status unpacked libsecret-1-0:amd64 0.21.4-1build3
2025-08-05 16:50:33 install evince:amd64 <none> 46.3.1-0ubuntu1
2025-08-05 16:50:33 status half-installed evince:amd64 46.3.1-0ubuntu1
2025-08-05 16:50:33 status unpacked evince:amd64 46.3.1-0ubuntu1
2025-08-05 16:50:33 install libcamel-1.2-64t64:amd64 <none> 3.52.3-0ubuntu1
2025-08-05 16:50:33 status half-installed libcamel-1.2-64t64:amd64 3.52.3-0ubuntu1
2025-08-05 16:50:33 status unpacked libcamel-1.2-64t64:amd64 3.52.3-0ubuntu1
2025-08-05 16:50:33 install libtdb1:amd64 <none> 1.4.10-1build1
2025-08-05 16:50:33 status half-installed libtdb1:amd64 1.4.10-1build1
2025-08-05 16:50:33 status unpacked libtdb1:amd64 1.4.10-1build1
2025-08-05 16:50:33 install libvorbisfile3:amd64 <none> 1.3.7-1build3
2025-08-05 16:50:33 status half-installed libvorbisfile3:amd64 1.3.7-1build3
2025-08-05 16:50:33 status unpacked libvorbisfile3:amd64 1.3.7-1build3
2025-08-05 16:50:33 install sound-theme-freedesktop:all <none> 0.8-2ubuntu1
2025-08-05 16:50:33 status half-installed sound-theme-freedesktop:all 0.8-2ubuntu1
2025-08-05 16:50:33 status unpacked sound-theme-freedesktop:all 0.8-2ubuntu1
2025-08-05 16:50:33 install libcanberra0t64:amd64 <none> 0.30-10ubuntu10
2025-08-05 16:50:33 status half-installed libcanberra0t64:amd64 0.30-10ubuntu10
2025-08-05 16:50:33 status unpacked libcanberra0t64:amd64 0.30-10ubuntu10
2025-08-05 16:50:33 install libcanberra-gtk3-0t64:amd64 <none> 0.30-10ubuntu10
2025-08-05 16:50:33 status half-installed libcanberra-gtk3-0t64:amd64 0.30-10ubuntu10
2025-08-05 16:50:33 status unpacked libcanberra-gtk3-0t64:amd64 0.30-10ubuntu10
2025-08-05 16:50:33 install evolution-data-server-common:all <none> 3.52.3-0ubuntu1
2025-08-05 16:50:33 status half-installed evolution-data-server-common:all 3.52.3-0ubuntu1
2025-08-05 16:50:33 status unpacked evolution-data-server-common:all 3.52.3-0ubuntu1
2025-08-05 16:50:33 install libedataserver-1.2-27t64:amd64 <none> 3.52.3-0ubuntu1
2025-08-05 16:50:33 status half-installed libedataserver-1.2-27t64:amd64 3.52.3-0ubuntu1
2025-08-05 16:50:33 status unpacked libedataserver-1.2-27t64:amd64 3.52.3-0ubuntu1
2025-08-05 16:50:33 install libebackend-1.2-11t64:amd64 <none> 3.52.3-0ubuntu1
2025-08-05 16:50:33 status half-installed libebackend-1.2-11t64:amd64 3.52.3-0ubuntu1
2025-08-05 16:50:33 status unpacked libebackend-1.2-11t64:amd64 3.52.3-0ubuntu1
2025-08-05 16:50:33 install libabsl20220623t64:amd64 <none> 20220623.1-3.1ubuntu3.2
2025-08-05 16:50:33 status half-installed libabsl20220623t64:amd64 20220623.1-3.1ubuntu3.2
2025-08-05 16:50:33 status unpacked libabsl20220623t64:amd64 20220623.1-3.1ubuntu3.2
2025-08-05 16:50:33 install libprotobuf32t64:amd64 <none> 3.21.12-8.2ubuntu0.2
2025-08-05 16:50:33 status half-installed libprotobuf32t64:amd64 3.21.12-8.2ubuntu0.2
2025-08-05 16:50:33 status unpacked libprotobuf32t64:amd64 3.21.12-8.2ubuntu0.2
2025-08-05 16:50:33 install libphonenumber8:amd64 <none> 8.12.57+ds-4.2build3
2025-08-05 16:50:33 status half-installed libphonenumber8:amd64 8.12.57+ds-4.2build3
2025-08-05 16:50:33 status unpacked libphonenumber8:amd64 8.12.57+ds-4.2build3
2025-08-05 16:50:33 install libebook-contacts-1.2-4t64:amd64 <none> 3.52.3-0ubuntu1
2025-08-05 16:50:33 status half-installed libebook-contacts-1.2-4t64:amd64 3.52.3-0ubuntu1
2025-08-05 16:50:33 status unpacked libebook-contacts-1.2-4t64:amd64 3.52.3-0ubuntu1
2025-08-05 16:50:33 install libedata-book-1.2-27t64:amd64 <none> 3.52.3-0ubuntu1
2025-08-05 16:50:33 status half-installed libedata-book-1.2-27t64:amd64 3.52.3-0ubuntu1
2025-08-05 16:50:33 status unpacked libedata-book-1.2-27t64:amd64 3.52.3-0ubuntu1
2025-08-05 16:50:33 install libebook-1.2-21t64:amd64 <none> 3.52.3-0ubuntu1
2025-08-05 16:50:33 status half-installed libebook-1.2-21t64:amd64 3.52.3-0ubuntu1
2025-08-05 16:50:33 status unpacked libebook-1.2-21t64:amd64 3.52.3-0ubuntu1
2025-08-05 16:50:33 install libecal-2.0-3:amd64 <none> 3.52.3-0ubuntu1
2025-08-05 16:50:33 status half-installed libecal-2.0-3:amd64 3.52.3-0ubuntu1
2025-08-05 16:50:33 status unpacked libecal-2.0-3:amd64 3.52.3-0ubuntu1
2025-08-05 16:50:33 install libedata-cal-2.0-2t64:amd64 <none> 3.52.3-0ubuntu1
2025-08-05 16:50:33 status half-installed libedata-cal-2.0-2t64:amd64 3.52.3-0ubuntu1
2025-08-05 16:50:33 status unpacked libedata-cal-2.0-2t64:amd64 3.52.3-0ubuntu1
2025-08-05 16:50:33 install libatomic1:amd64 <none> 14.2.0-4ubuntu2~24.04
2025-08-05 16:50:33 status half-installed libatomic1:amd64 14.2.0-4ubuntu2~24.04
2025-08-05 16:50:33 status unpacked libatomic1:amd64 14.2.0-4ubuntu2~24.04
2025-08-05 16:50:33 install libjavascriptcoregtk-4.1-0:amd64 <none> 2.48.3-0ubuntu0.24.04.1
2025-08-05 16:50:33 status half-installed libjavascriptcoregtk-4.1-0:amd64 2.48.3-0ubuntu0.24.04.1
2025-08-05 16:50:34 status unpacked libjavascriptcoregtk-4.1-0:amd64 2.48.3-0ubuntu0.24.04.1
2025-08-05 16:50:34 install libaa1:amd64 <none> 1.4p5-51.1
2025-08-05 16:50:34 status half-installed libaa1:amd64 1.4p5-51.1
2025-08-05 16:50:34 status unpacked libaa1:amd64 1.4p5-51.1
2025-08-05 16:50:34 install libraw1394-11:amd64 <none> 2.1.2-2build3
2025-08-05 16:50:34 status half-installed libraw1394-11:amd64 2.1.2-2build3
2025-08-05 16:50:34 status unpacked libraw1394-11:amd64 2.1.2-2build3
2025-08-05 16:50:34 install libavc1394-0:amd64 <none> 0.5.4-5build3
2025-08-05 16:50:34 status half-installed libavc1394-0:amd64 0.5.4-5build3
2025-08-05 16:50:34 status unpacked libavc1394-0:amd64 0.5.4-5build3
2025-08-05 16:50:34 install libcaca0:amd64 <none> 0.99.beta20-4build2
2025-08-05 16:50:34 status half-installed libcaca0:amd64 0.99.beta20-4build2
2025-08-05 16:50:34 status unpacked libcaca0:amd64 0.99.beta20-4build2
2025-08-05 16:50:34 install libdv4t64:amd64 <none> 1.0.0-17.1build1
2025-08-05 16:50:34 status half-installed libdv4t64:amd64 1.0.0-17.1build1
2025-08-05 16:50:34 status unpacked libdv4t64:amd64 1.0.0-17.1build1
2025-08-05 16:50:34 install libflac12t64:amd64 <none> 1.4.3+ds-2.1ubuntu2
2025-08-05 16:50:34 status half-installed libflac12t64:amd64 1.4.3+ds-2.1ubuntu2
2025-08-05 16:50:34 status unpacked libflac12t64:amd64 1.4.3+ds-2.1ubuntu2
2025-08-05 16:50:34 install libgstreamer-plugins-good1.0-0:amd64 <none> 1.24.2-1ubuntu1.1
2025-08-05 16:50:34 status half-installed libgstreamer-plugins-good1.0-0:amd64 1.24.2-1ubuntu1.1
2025-08-05 16:50:34 status unpacked libgstreamer-plugins-good1.0-0:amd64 1.24.2-1ubuntu1.1
2025-08-05 16:50:34 install libiec61883-0:amd64 <none> 1.2.0-6build1
2025-08-05 16:50:34 status half-installed libiec61883-0:amd64 1.2.0-6build1
2025-08-05 16:50:34 status unpacked libiec61883-0:amd64 1.2.0-6build1
2025-08-05 16:50:34 install libmp3lame0:amd64 <none> 3.100-6build1
2025-08-05 16:50:34 status half-installed libmp3lame0:amd64 3.100-6build1
2025-08-05 16:50:34 status unpacked libmp3lame0:amd64 3.100-6build1
2025-08-05 16:50:34 install libmpg123-0t64:amd64 <none> 1.32.5-1ubuntu1.1
2025-08-05 16:50:34 status half-installed libmpg123-0t64:amd64 1.32.5-1ubuntu1.1
2025-08-05 16:50:34 status unpacked libmpg123-0t64:amd64 1.32.5-1ubuntu1.1
2025-08-05 16:50:34 install libasyncns0:amd64 <none> 0.8-6build4
2025-08-05 16:50:34 status half-installed libasyncns0:amd64 0.8-6build4
2025-08-05 16:50:34 status unpacked libasyncns0:amd64 0.8-6build4
2025-08-05 16:50:34 install libsndfile1:amd64 <none> 1.2.2-1ubuntu5.24.04.1
2025-08-05 16:50:34 status half-installed libsndfile1:amd64 1.2.2-1ubuntu5.24.04.1
2025-08-05 16:50:34 status unpacked libsndfile1:amd64 1.2.2-1ubuntu5.24.04.1
2025-08-05 16:50:34 install libpulse0:amd64 <none> 1:16.1+dfsg1-2ubuntu10.1
2025-08-05 16:50:34 status half-installed libpulse0:amd64 1:16.1+dfsg1-2ubuntu10.1
2025-08-05 16:50:34 status unpacked libpulse0:amd64 1:16.1+dfsg1-2ubuntu10.1
2025-08-05 16:50:34 install libspeex1:amd64 <none> 1.2.1-2ubuntu2.24.04.1
2025-08-05 16:50:34 status half-installed libspeex1:amd64 1.2.1-2ubuntu2.24.04.1
2025-08-05 16:50:34 status unpacked libspeex1:amd64 1.2.1-2ubuntu2.24.04.1
2025-08-05 16:50:34 install libshout3:amd64 <none> 2.4.6-1build2
2025-08-05 16:50:34 status half-installed libshout3:amd64 2.4.6-1build2
2025-08-05 16:50:34 status unpacked libshout3:amd64 2.4.6-1build2
2025-08-05 16:50:34 install libtag1v5-vanilla:amd64 <none> 1.13.1-1build1
2025-08-05 16:50:34 status half-installed libtag1v5-vanilla:amd64 1.13.1-1build1
2025-08-05 16:50:34 status unpacked libtag1v5-vanilla:amd64 1.13.1-1build1
2025-08-05 16:50:34 install libtag1v5:amd64 <none> 1.13.1-1build1
2025-08-05 16:50:34 status half-installed libtag1v5:amd64 1.13.1-1build1
2025-08-05 16:50:34 status unpacked libtag1v5:amd64 1.13.1-1build1
2025-08-05 16:50:34 install libtwolame0:amd64 <none> 0.4.0-2build3
2025-08-05 16:50:34 status half-installed libtwolame0:amd64 0.4.0-2build3
2025-08-05 16:50:34 status unpacked libtwolame0:amd64 0.4.0-2build3
2025-08-05 16:50:34 install libv4lconvert0t64:amd64 <none> 1.26.1-4build3
2025-08-05 16:50:34 status half-installed libv4lconvert0t64:amd64 1.26.1-4build3
2025-08-05 16:50:34 status unpacked libv4lconvert0t64:amd64 1.26.1-4build3
2025-08-05 16:50:34 install libv4l-0t64:amd64 <none> 1.26.1-4build3
2025-08-05 16:50:34 status half-installed libv4l-0t64:amd64 1.26.1-4build3
2025-08-05 16:50:34 status unpacked libv4l-0t64:amd64 1.26.1-4build3
2025-08-05 16:50:34 install libvpx9:amd64 <none> 1.14.0-1ubuntu2.2
2025-08-05 16:50:34 status half-installed libvpx9:amd64 1.14.0-1ubuntu2.2
2025-08-05 16:50:34 status unpacked libvpx9:amd64 1.14.0-1ubuntu2.2
2025-08-05 16:50:34 install libwavpack1:amd64 <none> 5.6.0-1build1
2025-08-05 16:50:34 status half-installed libwavpack1:amd64 5.6.0-1build1
2025-08-05 16:50:34 status unpacked libwavpack1:amd64 5.6.0-1build1
2025-08-05 16:50:34 install gstreamer1.0-plugins-good:amd64 <none> 1.24.2-1ubuntu1.1
2025-08-05 16:50:34 status half-installed gstreamer1.0-plugins-good:amd64 1.24.2-1ubuntu1.1
2025-08-05 16:50:35 status unpacked gstreamer1.0-plugins-good:amd64 1.24.2-1ubuntu1.1
2025-08-05 16:50:35 install xdg-dbus-proxy:amd64 <none> 0.1.5-1build2
2025-08-05 16:50:35 status half-installed xdg-dbus-proxy:amd64 0.1.5-1build2
2025-08-05 16:50:35 status unpacked xdg-dbus-proxy:amd64 0.1.5-1build2
2025-08-05 16:50:35 install libwayland-server0:amd64 <none> 1.22.0-2.1build1
2025-08-05 16:50:35 status half-installed libwayland-server0:amd64 1.22.0-2.1build1
2025-08-05 16:50:35 status unpacked libwayland-server0:amd64 1.22.0-2.1build1
2025-08-05 16:50:35 install libdrm-amdgpu1:amd64 <none> 2.4.122-1~ubuntu0.24.04.1
2025-08-05 16:50:35 status half-installed libdrm-amdgpu1:amd64 2.4.122-1~ubuntu0.24.04.1
2025-08-05 16:50:35 status unpacked libdrm-amdgpu1:amd64 2.4.122-1~ubuntu0.24.04.1
2025-08-05 16:50:35 install libdrm-intel1:amd64 <none> 2.4.122-1~ubuntu0.24.04.1
2025-08-05 16:50:35 status half-installed libdrm-intel1:amd64 2.4.122-1~ubuntu0.24.04.1
2025-08-05 16:50:35 status unpacked libdrm-intel1:amd64 2.4.122-1~ubuntu0.24.04.1
2025-08-05 16:50:35 install libllvm19:amd64 <none> 1:19.1.1-1ubuntu1~24.04.2
2025-08-05 16:50:35 status half-installed libllvm19:amd64 1:19.1.1-1ubuntu1~24.04.2
2025-08-05 16:50:35 status unpacked libllvm19:amd64 1:19.1.1-1ubuntu1~24.04.2
2025-08-05 16:50:35 install libxcb-dri3-0:amd64 <none> 1.15-1ubuntu2
2025-08-05 16:50:35 status half-installed libxcb-dri3-0:amd64 1.15-1ubuntu2
2025-08-05 16:50:35 status unpacked libxcb-dri3-0:amd64 1.15-1ubuntu2
2025-08-05 16:50:35 install libxcb-present0:amd64 <none> 1.15-1ubuntu2
2025-08-05 16:50:35 status half-installed libxcb-present0:amd64 1.15-1ubuntu2
2025-08-05 16:50:35 status unpacked libxcb-present0:amd64 1.15-1ubuntu2
2025-08-05 16:50:35 install libxcb-randr0:amd64 <none> 1.15-1ubuntu2
2025-08-05 16:50:35 status half-installed libxcb-randr0:amd64 1.15-1ubuntu2
2025-08-05 16:50:35 status unpacked libxcb-randr0:amd64 1.15-1ubuntu2
2025-08-05 16:50:35 install libxcb-sync1:amd64 <none> 1.15-1ubuntu2
2025-08-05 16:50:35 status half-installed libxcb-sync1:amd64 1.15-1ubuntu2
2025-08-05 16:50:35 status unpacked libxcb-sync1:amd64 1.15-1ubuntu2
2025-08-05 16:50:35 install libxcb-xfixes0:amd64 <none> 1.15-1ubuntu2
2025-08-05 16:50:35 status half-installed libxcb-xfixes0:amd64 1.15-1ubuntu2
2025-08-05 16:50:35 status unpacked libxcb-xfixes0:amd64 1.15-1ubuntu2
2025-08-05 16:50:36 install libxshmfence1:amd64 <none> 1.3-1build5
2025-08-05 16:50:36 status half-installed libxshmfence1:amd64 1.3-1build5
2025-08-05 16:50:36 status unpacked libxshmfence1:amd64 1.3-1build5
2025-08-05 16:50:36 install mesa-libgallium:amd64 <none> 25.0.7-0ubuntu0.24.04.1
2025-08-05 16:50:36 status half-installed mesa-libgallium:amd64 25.0.7-0ubuntu0.24.04.1
2025-08-05 16:50:36 status unpacked mesa-libgallium:amd64 25.0.7-0ubuntu0.24.04.1
2025-08-05 16:50:36 install libgbm1:amd64 <none> 25.0.7-0ubuntu0.24.04.1
2025-08-05 16:50:36 status half-installed libgbm1:amd64 25.0.7-0ubuntu0.24.04.1
2025-08-05 16:50:36 status unpacked libgbm1:amd64 25.0.7-0ubuntu0.24.04.1
2025-08-05 16:50:36 install libegl-mesa0:amd64 <none> 25.0.7-0ubuntu0.24.04.1
2025-08-05 16:50:36 status half-installed libegl-mesa0:amd64 25.0.7-0ubuntu0.24.04.1
2025-08-05 16:50:36 status unpacked libegl-mesa0:amd64 25.0.7-0ubuntu0.24.04.1
2025-08-05 16:50:36 install libegl1:amd64 <none> 1.7.0-1build1
2025-08-05 16:50:36 status half-installed libegl1:amd64 1.7.0-1build1
2025-08-05 16:50:36 status unpacked libegl1:amd64 1.7.0-1build1
2025-08-05 16:50:36 install libxcb-glx0:amd64 <none> 1.15-1ubuntu2
2025-08-05 16:50:36 status half-installed libxcb-glx0:amd64 1.15-1ubuntu2
2025-08-05 16:50:36 status unpacked libxcb-glx0:amd64 1.15-1ubuntu2
2025-08-05 16:50:36 install libxxf86vm1:amd64 <none> 1:1.1.4-1build4
2025-08-05 16:50:36 status half-installed libxxf86vm1:amd64 1:1.1.4-1build4
2025-08-05 16:50:36 status unpacked libxxf86vm1:amd64 1:1.1.4-1build4
2025-08-05 16:50:36 install libgl1-mesa-dri:amd64 <none> 25.0.7-0ubuntu0.24.04.1
2025-08-05 16:50:36 status half-installed libgl1-mesa-dri:amd64 25.0.7-0ubuntu0.24.04.1
2025-08-05 16:50:36 status unpacked libgl1-mesa-dri:amd64 25.0.7-0ubuntu0.24.04.1
2025-08-05 16:50:36 install libglx-mesa0:amd64 <none> 25.0.7-0ubuntu0.24.04.1
2025-08-05 16:50:36 status half-installed libglx-mesa0:amd64 25.0.7-0ubuntu0.24.04.1
2025-08-05 16:50:36 status unpacked libglx-mesa0:amd64 25.0.7-0ubuntu0.24.04.1
2025-08-05 16:50:36 install libglx0:amd64 <none> 1.7.0-1build1
2025-08-05 16:50:36 status half-installed libglx0:amd64 1.7.0-1build1
2025-08-05 16:50:36 status unpacked libglx0:amd64 1.7.0-1build1
2025-08-05 16:50:36 install libgl1:amd64 <none> 1.7.0-1build1
2025-08-05 16:50:36 status half-installed libgl1:amd64 1.7.0-1build1
2025-08-05 16:50:36 status unpacked libgl1:amd64 1.7.0-1build1
2025-08-05 16:50:36 install libgstreamer-gl1.0-0:amd64 <none> 1.24.2-1ubuntu0.2
2025-08-05 16:50:36 status half-installed libgstreamer-gl1.0-0:amd64 1.24.2-1ubuntu0.2
2025-08-05 16:50:36 status unpacked libgstreamer-gl1.0-0:amd64 1.24.2-1ubuntu0.2
2025-08-05 16:50:36 install libharfbuzz-icu0:amd64 <none> 8.3.0-2build2
2025-08-05 16:50:36 status half-installed libharfbuzz-icu0:amd64 8.3.0-2build2
2025-08-05 16:50:36 status unpacked libharfbuzz-icu0:amd64 8.3.0-2build2
2025-08-05 16:50:36 install libhyphen0:amd64 <none> 2.8.8-7build3
2025-08-05 16:50:36 status half-installed libhyphen0:amd64 2.8.8-7build3
2025-08-05 16:50:36 status unpacked libhyphen0:amd64 2.8.8-7build3
2025-08-05 16:50:36 install libmanette-0.2-0:amd64 <none> 0.2.7-1build2
2025-08-05 16:50:36 status half-installed libmanette-0.2-0:amd64 0.2.7-1build2
2025-08-05 16:50:36 status unpacked libmanette-0.2-0:amd64 0.2.7-1build2
2025-08-05 16:50:36 install libwoff1:amd64 <none> 1.0.2-2build1
2025-08-05 16:50:36 status half-installed libwoff1:amd64 1.0.2-2build1
2025-08-05 16:50:36 status unpacked libwoff1:amd64 1.0.2-2build1
2025-08-05 16:50:36 install libxslt1.1:amd64 <none> 1.1.39-0exp1ubuntu0.24.04.2
2025-08-05 16:50:36 status half-installed libxslt1.1:amd64 1.1.39-0exp1ubuntu0.24.04.2
